geolocation_zip_code_prefix,lat,lng,city,n_records
23067,-22.88243614479021,-43.61658346798473,rio de janeiro,31
23068,-22.886458648570237,-43.59762968190717,rio de janeiro,53
23070,-22.896407842881192,-43.57751001381104,rio de janeiro,137
23071,-22.888368672611154,-43.58090949448299,rio de janeiro,103
23073,-22.890041427693028,-43.57897537149158,rio de janeiro,87
23075,-22.877775179542617,-43.57771051289783,rio de janeiro,180
23076,-22.88245539011392,-43.574942249018065,rio de janeiro,53
23078,-22.872167051363157,-43.58925307377246,rio de janeiro,62
23080,-22.898539335408454,-43.56542140516348,rio de janeiro,108
23081,-22.89433959920376,-43.56722290454661,rio de janeiro,42
23082,-22.8942153041908,-43.57129087148408,rio de janeiro,61
23085,-22.893920459110284,-43.54642397807567,rio de janeiro,102
23087,-22.886393425025826,-43.558872618395576,rio de janeiro,101
23088,-22.88543771705454,-43.54971957423268,rio de janeiro,86
23090,-22.878043319496523,-43.562917395844295,rio de janeiro,102
23092,-22.87085601200714,-43.54384874896292,rio de janeiro,217
23093,-22.87751529574331,-43.53029348075376,rio de janeiro,103
23094,-22.876209770242788,-43.51981673638026,rio de janeiro,49
23095,-22.86940966621501,-43.55658717782943,rio de janeiro,112
23097,-22.85109676327036,-43.53613869095038,rio de janeiro,75
23098,-22.870188890670534,-43.52187688533317,rio de janeiro,35
23510,-22.91973437055113,-43.67148457968753,rio de janeiro,71
23515,-22.92368923724333,-43.682925923943515,rio de janeiro,86
23520,-22.936255491866653,-43.661399065747545,rio de janeiro,208
23525,-22.94503552262656,-43.67692431410214,rio de janeiro,64
23530,-22.97383432126233,-43.6810761924786,rio de janeiro,103
23535,-22.9790211808901,-43.69012245165258,rio de janeiro,110
23540,-22.974468021753417,-43.696539704365605,rio de janeiro,56
23545,-22.967091308000946,-43.700265635554004,rio de janeiro,86
23547,-22.93249321644976,-43.62300753113864,rio de janeiro,16
23550,-22.930711174851965,-43.68946380025854,rio de janeiro,186
23555,-22.917504887763446,-43.69308722014739,rio de janeiro,120
23560,-22.898979722466947,-43.69930833968601,rio de janeiro,163
23565,-22.897761741341185,-43.69665951306267,rio de janeiro,43
23570,-22.909310774242133,-43.67111972773999,rio de janeiro,121
23573,-22.913149027532867,-43.65356967363749,rio de janeiro,59
23575,-22.89798974016889,-43.6685591848473,rio de janeiro,197
23580,-22.911119400069488,-43.62264162522756,rio de janeiro,126
23585,-22.924510509727508,-43.63529705731422,rio de janeiro,230
23587,-22.922380751135307,-43.629510536912335,rio de janeiro,107
23590,-22.929380445733447,-43.65949350167462,rio de janeiro,10
23591,-22.931157368290787,-43.6638593272825,rio de janeiro,1
23595,-22.92668402323646,-43.629330310698386,rio de janeiro,113
23810,-22.87093410934107,-43.76901268302672,itaguaí,97
23811,-22.864749343835488,-43.767300984202556,itaguai,51
23812,-22.872059666972863,-43.77093362835852,itaguai,18
23815,-22.86867015326329,-43.78013952780047,itaguai,91
23819,-22.839093852362634,-43.79495437195018,itaguai,2
23820,-22.862780471644363,-43.78526762819197,itaguai,69
23821,-22.870305329108017,-43.79064137470553,itaguai,52
23822,-22.861638585933978,-43.793426630645435,itaguai,13
23823,-22.8756058757771,-43.788425013985794,itaguai,7
23825,-22.885828313712473,-43.827855848193266,itaguai,47
23826,-22.89560484133116,-43.84587026303256,itaguai,25
23830,-22.8458671869452,-43.78333380428192,itaguaí,12
23831,-22.876635031970025,-43.80985126698182,itaguaí,9
23832,-22.85534509298971,-43.76583456328473,itaguai,2
23835,-22.83658162389063,-43.76504164627765,itaguai,1
23855,-22.86387076999147,-43.7592342671893,itaguai,3
23890,-22.787688375690138,-43.64890166112607,seropedica,31
23891,-22.751096471447426,-43.6688332783572,seropedica,17
23893,-22.71072154468618,-43.69140232860298,seropedica,10
23894,-22.741006794925276,-43.699829819938394,seropedica,72
23895,-22.746274001626645,-43.708503424610186,seropedica,88
23897,-22.792366849451536,-43.662640119980665,seropedica,23
23898,-22.80791081625367,-43.644304412473865,seropedica,43
24005,-22.89354536620809,-43.118957695144125,niteroi,1
24007,-21.20598002961762,-41.89638192630007,niteroi,1
24008,-21.219146282188923,-41.87782460308559,niteroi,1
24009,-21.21909309955271,-41.8775055072683,niteroi,2
24020,-22.893701145563103,-43.12041784927668,niteroi,381
24022,-22.05622327411629,-42.499664066408826,niteroi,2
24027,-21.2189719026067,-41.87752350568823,niteroi,1
24030,-22.888697457782282,-43.11830702093674,niterói,283
24040,-22.882735624308985,-43.12349628123474,niteroi,40
24050,-22.87517503985885,-43.109560284753925,niteroi,68
24060,-22.88593419631651,-43.1106543708203,niteroi,50
24070,-22.893486245089814,-43.11089097581806,niteroi,45
24110,-22.867915276400392,-43.09960548772942,niterói,387
24111,-22.86398451494475,-43.09252306679081,niteroi,18
24119,-22.86343492846253,-43.09725737403164,niteroi,1
24120,-22.88327023685682,-43.09227400558896,niteroi,333
24130,-22.879226893202652,-43.09157186572144,niteroi,312
24140,-22.889267493261833,-43.04860885808703,niteroi,54
24141,-22.87816915718994,-43.05564163085743,niteroi,24
24202,-22.89542602516494,-43.11547213914787,niterói,1
24210,-22.9006237676799,-43.127072924198885,niteroi,607
24211,-21.220994849938272,-41.89197955002058,niteroi,1
24220,-22.90324481661885,-43.107023598220486,niteroi,1146
24230,-22.878636914963273,-43.08609614601055,niterói,1102
24240,-22.897237232548903,-43.09915756428693,niteroi,498
24241,-22.904219800443407,-43.09158065028214,niteroi,126
24310,-22.9110328213164,-43.06742681237905,niterói,108
24315,-22.901684792085458,-43.06891496088816,niteroi,102
